study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_strategy	library_selection	base_count	first_public	last_updated	study_title	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp	sample_alias	sample_title
PRJEB42019	SAMEA7723388	ERX4803377	ERR4993891	1076179	bioreactor metagenome	ILLUMINA	Illumina MiSeq	13114.angenent.65.s001	AMPLICON	PCR	3008949	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/001/ERR4993891/ERR4993891.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993891/13114.angenent.65.s001.R1.fastq.gz			qiita_sid_13114:13114.angenent.65.s001	13114.angenent.65.s001
PRJEB42019	SAMEA7723389	ERX4803378	ERR4993892	1076179	bioreactor metagenome	ILLUMINA	Illumina MiSeq	13114.angenent.65.s002	AMPLICON	PCR	4465157	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/002/ERR4993892/ERR4993892.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993892/13114.angenent.65.s002.R1.fastq.gz			qiita_sid_13114:13114.angenent.65.s002	13114.angenent.65.s002
PRJEB42019	SAMEA7723390	ERX4803379	ERR4993893	1076179	bioreactor metagenome	ILLUMINA	Illumina MiSeq	13114.angenent.65.s005	AMPLICON	PCR	5114147	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/003/ERR4993893/ERR4993893.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993893/13114.angenent.65.s005.R1.fastq.gz			qiita_sid_13114:13114.angenent.65.s005	13114.angenent.65.s005
PRJEB42019	SAMEA7723391	ERX4803380	ERR4993894	1076179	bioreactor metagenome	ILLUMINA	Illumina MiSeq	13114.angenent.65.s007	AMPLICON	PCR	3111856	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/004/ERR4993894/ERR4993894.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993894/13114.angenent.65.s007.R1.fastq.gz			qiita_sid_13114:13114.angenent.65.s007	13114.angenent.65.s007
PRJEB42019	SAMEA7723392	ERX4803381	ERR4993895	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s004	AMPLICON	PCR	5078697	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/005/ERR4993895/ERR4993895.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993895/13114.berry.2.s004.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s004	13114.berry.2.s004
PRJEB42019	SAMEA7723393	ERX4803382	ERR4993896	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s007	AMPLICON	PCR	3118893	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/006/ERR4993896/ERR4993896.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993896/13114.berry.2.s007.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s007	13114.berry.2.s007
PRJEB42019	SAMEA7723394	ERX4803383	ERR4993897	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s008	AMPLICON	PCR	8322019	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/007/ERR4993897/ERR4993897.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993897/13114.berry.2.s008.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s008	13114.berry.2.s008
PRJEB42019	SAMEA7723395	ERX4803384	ERR4993898	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s009	AMPLICON	PCR	6248948	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/008/ERR4993898/ERR4993898.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993898/13114.berry.2.s009.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s009	13114.berry.2.s009
PRJEB42019	SAMEA7723396	ERX4803385	ERR4993899	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s010	AMPLICON	PCR	4366631	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/009/ERR4993899/ERR4993899.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993899/13114.berry.2.s010.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s010	13114.berry.2.s010
PRJEB42019	SAMEA7723397	ERX4803386	ERR4993900	556182	freshwater sediment metagenome	ILLUMINA	Illumina MiSeq	13114.berry.2.s011	AMPLICON	PCR	6873396	2020-12-17	2020-12-15	Earth Microbiome Project Multi-omics (EMP500)	ftp.sra.ebi.ac.uk/vol1/fastq/ERR499/000/ERR4993900/ERR4993900.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR499/ERR4993900/13114.berry.2.s011.R1.fastq.gz			qiita_sid_13114:13114.berry.2.s011	13114.berry.2.s011
