sample,fastq_1,fastq_2,accession,run_accession,experiment_accession,sample_accession,secondary_sample_accession,study_accession,secondary_study_accession,submission_accession,run_alias,experiment_alias,sample_alias,study_alias,library_layout,library_selection,library_source,library_strategy,library_name,instrument_model,instrument_platform,base_count,read_count,tax_id,scientific_name,sample_title,experiment_title,study_title,description,sample_description,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera
ERX4811006,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811006_ERR5001723_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811006_ERR5001723_2.fastq.gz,SAMEA7723388,ERR5001723,ERX4811006,SAMEA7723388,ERS5470766,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s001,qiita_ptid_8764:13114.angenent.65.s001,qiita_sid_13114:13114.angenent.65.s001,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s001,Illumina NovaSeq 6000,ILLUMINA,1270733622,8523910,1076179,bioreactor metagenome,13114.angenent.65.s001,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s001,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s001,Corn Beer Fermentation Bioreactor Biomass,30dcdfb4e3be35e729c1fde246f6f4db;8e3096e281a7a3a5a7ce873259cc4ff9,341653486;339647321,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/003/ERR5001723/ERR5001723_2.fastq.gz
ERX4811007,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811007_ERR5001724_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811007_ERR5001724_2.fastq.gz,SAMEA7723389,ERR5001724,ERX4811007,SAMEA7723389,ERS5470767,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s002,qiita_ptid_8764:13114.angenent.65.s002,qiita_sid_13114:13114.angenent.65.s002,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s002,Illumina NovaSeq 6000,ILLUMINA,992629602,6628092,1076179,bioreactor metagenome,13114.angenent.65.s002,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s002,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s002,Corn Beer Fermentation Bioreactor Biomass,ef380263da3e6adfc94cd117e41ac8d4;98cbde5a632140f6e9181ce3887921f3,267909154;264671001,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/004/ERR5001724/ERR5001724_2.fastq.gz
ERX4811008,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811008_ERR5001725_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811008_ERR5001725_2.fastq.gz,SAMEA7724098,ERR5001725,ERX4811008,SAMEA7724098,ERS5471475,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s003,qiita_ptid_8764:13114.angenent.65.s003,qiita_sid_13114:13114.angenent.65.s003,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s003,Illumina NovaSeq 6000,ILLUMINA,268375589,1793520,1076179,bioreactor metagenome,13114.angenent.65.s003,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s003,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s003,Corn Beer Fermentation Bioreactor Biomass,e2c1a27c80a203c1ab4fd0280387fadb;a4c00bf80fd76eab6ade5429468c6299,72857934;72332425,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/005/ERR5001725/ERR5001725_2.fastq.gz
ERX4811009,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811009_ERR5001726_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811009_ERR5001726_2.fastq.gz,SAMEA7724099,ERR5001726,ERX4811009,SAMEA7724099,ERS5471476,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s004,qiita_ptid_8764:13114.angenent.65.s004,qiita_sid_13114:13114.angenent.65.s004,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s004,Illumina NovaSeq 6000,ILLUMINA,551116899,3679260,1076179,bioreactor metagenome,13114.angenent.65.s004,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s004,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s004,Corn Beer Fermentation Bioreactor Biomass,a719846cc1483f95bfc700cfbc573a54;5a6f82caaf472a2bd9ee2da1a1f77b0f,149904989;149535848,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/006/ERR5001726/ERR5001726_2.fastq.gz
ERX4811010,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811010_ERR5001727_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811010_ERR5001727_2.fastq.gz,SAMEA7723390,ERR5001727,ERX4811010,SAMEA7723390,ERS5470768,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s005,qiita_ptid_8764:13114.angenent.65.s005,qiita_sid_13114:13114.angenent.65.s005,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s005,Illumina NovaSeq 6000,ILLUMINA,434957256,2904904,1076179,bioreactor metagenome,13114.angenent.65.s005,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s005,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s005,Corn Beer Fermentation Bioreactor Biomass,79915a79dd0025e093075aaa266a422a;7d502c6fab4c57b58d017305e2f5e5f5,118965845;117472957,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/007/ERR5001727/ERR5001727_2.fastq.gz
ERX4811011,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811011_ERR5001728_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811011_ERR5001728_2.fastq.gz,SAMEA7723848,ERR5001728,ERX4811011,SAMEA7723848,ERS5471226,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s006,qiita_ptid_8764:13114.angenent.65.s006,qiita_sid_13114:13114.angenent.65.s006,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s006,Illumina NovaSeq 6000,ILLUMINA,186787722,1247792,1076179,bioreactor metagenome,13114.angenent.65.s006,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s006,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s006,Corn Beer Fermentation Bioreactor Biomass,cc07057c6bc77ef82bfcd04ca97ebab1;8afdc5acf83dd17a208faa7403c70ed1,51531198;50744120,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/008/ERR5001728/ERR5001728_2.fastq.gz
ERX4811012,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811012_ERR5001729_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811012_ERR5001729_2.fastq.gz,SAMEA7723391,ERR5001729,ERX4811012,SAMEA7723391,ERS5470769,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s007,qiita_ptid_8764:13114.angenent.65.s007,qiita_sid_13114:13114.angenent.65.s007,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s007,Illumina NovaSeq 6000,ILLUMINA,1372208393,9158018,1076179,bioreactor metagenome,13114.angenent.65.s007,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s007,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s007,Corn Beer Fermentation Bioreactor Biomass,3d2bc82332b39d38bb0074b945221c00;b7a495ae7d0a84dbc1dab6e391323ff7,370281907;369466831,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/009/ERR5001729/ERR5001729_2.fastq.gz
ERX4811013,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811013_ERR5001730_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811013_ERR5001730_2.fastq.gz,SAMEA7724100,ERR5001730,ERX4811013,SAMEA7724100,ERS5471477,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s008,qiita_ptid_8764:13114.angenent.65.s008,qiita_sid_13114:13114.angenent.65.s008,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s008,Illumina NovaSeq 6000,ILLUMINA,349883224,2337440,1076179,bioreactor metagenome,13114.angenent.65.s008,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s008,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s008,Corn Beer Fermentation Bioreactor Biomass,5b9e0c1588fab42e89ef15d5684e36f0;f6837021741195ad3ba9c1d03aab629b,95157144;94584795,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/000/ERR5001730/ERR5001730_2.fastq.gz
ERX4811014,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811014_ERR5001731_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811014_ERR5001731_2.fastq.gz,SAMEA7724101,ERR5001731,ERX4811014,SAMEA7724101,ERS5471478,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.angenent.65.s009,qiita_ptid_8764:13114.angenent.65.s009,qiita_sid_13114:13114.angenent.65.s009,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.angenent.65.s009,Illumina NovaSeq 6000,ILLUMINA,390644853,2613252,1076179,bioreactor metagenome,13114.angenent.65.s009,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s009,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.angenent.65.s009,Corn Beer Fermentation Bioreactor Biomass,d3e5ea6f1e61269c82e6bd97309e3b52;2de0183c1b4861ad2b461f9a291f4478,106063274;105487024,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/001/ERR5001731/ERR5001731_2.fastq.gz
ERX4811015,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811015_ERR5001732_1.fastq.gz,s3://nf-metagenomics/EMP500/raw_data/fastq/ERX4811015_ERR5001732_2.fastq.gz,SAMEA7723849,ERR5001732,ERX4811015,SAMEA7723849,ERS5471227,PRJEB42019,ERP125879,ERA3199733,qiita_ppdid_88644:13114.berry.2.s001,qiita_ptid_8764:13114.berry.2.s001,qiita_sid_13114:13114.berry.2.s001,qiita_sid_13114,PAIRED,PCR,METAGENOMIC,WGS,13114.berry.2.s001,Illumina NovaSeq 6000,ILLUMINA,1293857105,8659908,556182,freshwater sediment metagenome,13114.berry.2.s001,Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.berry.2.s001,Earth Microbiome Project Multi-omics (EMP500),Illumina NovaSeq 6000 sequencing; qiita_ptid_8764:13114.berry.2.s001,Freshwater sediment core slice from Doe Pond MA. Aseptically collected subsample.,0ecf760b2d1dd88dfcf84b806960a119;3cb4e870aa424f6887c4cbf8d90b4946,348133796;347109696,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR500/002/ERR5001732/ERR5001732_2.fastq.gz
